key	en-US	pt-BR
K45::WE.vuio[toolOption.removeText.tooltip]	Remove text	Remover texto
K45::WE.vuio[toolOption.rotation]	Rotation	Rotação
K45::WE.vuio[toolOption.selectItem]	Select an Item	Selecione um item
K45::WE.vuio[toolOption.ShaderBtn.tooltip]	Shader properties	Propriedades do Shader
K45::WE.vuio[appearenceSettings.glassColor]	Glass base color/transp.	Cor/transp. base do vidro
K45::WE.vuio[appearenceSettings.glassRefraction]	Glass refraction	Refração do vidro
K45::WE.vuio[shaderProperties.shaderType]	Shader type	Tipo de shader
K45::WE.vuio[shaderProperties.shaderType.0]	Default	Padrão
K45::WE.vuio[shaderProperties.shaderType.1]	Glass	Vidro
K45::WE.vuio[appearenceSettings.glassTint]	Tint absorb	Absorção de tinta
K45::WE.vuio[appearenceSettings.glassClearness]	Glass clearness	Clareza do vidro
K45::WE.vuio[appearenceSettings.colorMask1]	Color mask #1	Máscara de cor 1
K45::WE.vuio[appearenceSettings.colorMask2]	Color mask #2	Máscara de cor 2
K45::WE.vuio[appearenceSettings.colorMask3]	Color mask #3	Máscara de cor 3
K45::WE.vuio[appearenceSettings.normalStrength]	Normals strength	Efeito de normal map
K45::WE.vuio[appearenceSettings.glassThickness]	Glass thickness	Grossura do vidro
::NTK45::WE.generatingAtlasesCache	WE: Atlases Cache	WE: Cache de atlas
::NDK45::WE.generatingAtlasesCache	Updating atlases cache for Write Everywhere	Atualizando o cache de atlas do Write Everywhere
::NDK45::WE.generatingAtlasesCache.deletingOld	Deleting old cache	Excluindo dados antigos
::NDK45::WE.generatingAtlasesCache.loadingFolders	Loading atlas {atlasName} ({progress})	Carregando atlas {atlasName} ({progress})
::NDK45::WE.generatingAtlasesCache.loadingInternalAtlas	Loading internal atlas	Carregando atlas interno
::NDK45::WE.generatingAtlasesCache.complete	Loading complete	Carregamento concluído
Menu.NOTIFICATION_TITLE[K45::WE.loadingPrefabTemplates]	WE: Prefabs default layouts	WE: Layouts padrão dos prefabs
Menu.NOTIFICATION_DESCRIPTION[K45::WE.loadingPrefabTemplates]	Loading default layout of prefabs	Carregando arquivos de layout padrão
Menu.NOTIFICATION_DESCRIPTION[K45::WE.loadingPrefabTemplates.gettingPrefabIndexes]	Getting all prefabs indexes	Obtendo todos os índices dos prefabs
Menu.NOTIFICATION_DESCRIPTION[K45::WE.loadingPrefabTemplates.prefabIndexesLoaded]	Prefab indexes loaded.	Índices de prefabs carregados.
Menu.NOTIFICATION_DESCRIPTION[K45::WE.loadingPrefabTemplates.erasingCachedLayouts]	Erasing cache...	Apagando cache...
Menu.NOTIFICATION_DESCRIPTION[K45::WE.loadingPrefabTemplates.disposedOldLayout]	Disposing old templates ({progress})	Desmontando templates antigos ({progress})
Menu.NOTIFICATION_DESCRIPTION[K45::WE.loadingPrefabTemplates.searchingForFiles]	Searching for files...	Procurando arquivos...
Menu.NOTIFICATION_DESCRIPTION[K45::WE.loadingPrefabTemplates.loadingPrefabLayoutFile]	({progress}) Loading {fileName}	({progress}) Carregando {fileName}
Menu.NOTIFICATION_DESCRIPTION[K45::WE.loadingPrefabTemplates.loadingComplete]	Loading complete	Carregamento concluído
K45::WE.TEMPLATE_MANAGER[invalidPrefabName]	No prefab loaded with name: '{prefabName}'. Skipping...	Nenhum prefab encontrado com o nome '{prefabName}'. Ignorando...
K45::WE.TEMPLATE_MANAGER[invalidFileContent]	Failed loding default template for prefab '{prefabName}'. Checktmod log to more information ({validationResults})	Falha ao carregar o template padrão do prefab '{prefabName}'. Verifique o log para detalhes ({validationResults})
Menu.NOTIFICATION_TITLE[K45::WE.errorLoadingPrefabTemplates]	WE: Error loading some prefab layouts	WE: Erro ao carregar alguns layouts de prefab
Menu.NOTIFICATION_DESCRIPTION[K45::WE.errorLoadingPrefabTemplates]	Click for details	Clique para detalhes
K45::WE.TEMPLATE_MANAGER[errorDialogHeader]	Some files were not loaded due errors. Check log for more details.	Alguns arquivos não foram carregados devido a erros. Confira o log do mod para mais detalhes.
K45::WE.vuio[cityAtlasesTab.usages]	Usages in templates instances	Usos em templates instanciados
K45::WE.vuio[cityAtlasesTab.imageCount]	Images count	Total de imagens
K45::WE.vuio[cityAtlasesTab.textureSize]	Texture size	Tamanho da textura
K45::WE.vuio[cityAtlasesTab.source]	Source	Fonte
K45::WE.vuio[cityAtlasesTab.source.saveGame]	Save Game/City	Save Game/Cidade
K45::WE.vuio[cityAtlasesTab.source.libraryFolder]	Library folder	Pasta da biblioteca
K45::WE.vuio[cityAtlasesTab.delete]	Delete from city savegame	Apagar do arquivo da cidade
K45::WE.vuio[cityAtlasesTab.export]	Export	Exportar
K45::WE.vuio[cityAtlasesTab.addToSavegame]	Add to city savegame	Adicionar ao arquivo da cidade
K45::WE.vuio[cityAtlasesTab.export.title]	Export atlas	Exportar atlas
K45::WE.vuio[cityAtlasesTab.export.text]	Type the name of the export folder	Digite o nome da pasta a ser exportada
K45::WE.vuio[cityAtlasesTab.export.successMessage]	"The atlas was exported succefully as ""{name}"" at atlas export folder"	"O atlas foi salvo com sucesso sob o nome ""{name}"" na pasta de exportação de atlas"
K45::WE.vuio[cityAtlasesTab.export.goToFileFolder]	Go to atlas export folder	Ir à pasta de exportação de atlas
K45::WE.vuio[cityAtlasesTab.export.back]	Back	Voltar
K45::WE.vuio[cityAtlasesTab.addToCityDialog.title]	Add atlas to this savegame	Adicionar atlas ao savegame
K45::WE.vuio[cityAtlasesTab.addToCityDialog.text]	"Type the name of this atlas inside the savegame. For overriding existing atlas in the savegame, exclude the current version first."	"Informe o nome desse atlas dentro do savegame. Para sobrescrever altas que já estão no savegame, exclua a versão atual primeiro."
K45::WE.vuio[cityAtlasesTab.confirmDeleteText]	"Are you sure you want to remove the atlas '{name}' from the savegame?\n\nNotice: This action won't erase any file in disk. If a atlas with same name exists in local folder, it will replace the removed one."	"Tem certeza que deseja remover o atlas '{name}' do savegame?\n\nAviso: Isto não irá apagar nenhum arquivo no disco. Se houver um atlas com um nome igual na pasta de atlas locais, ele irá substituir o atlas removido."
K45::WE.vuio[cityAtlasesTab.localAtlasesSection]	Local folder atlases	Altas da pasta local
K45::WE.vuio[cityAtlasesTab.cityAtlasesSection]	Savegame atlases	Atlas do savegame
K45::WE.vuio[cityAtlasesTab.noCityAtlases]	<No atlases on Savegame>	<Sem atlas no savegame>
K45::WE.vuio[cityAtlasesTab.noLocalAtlases]	<No subfolders found at atlases local folder>	<Nenhuma subpasta encontrada na pasta de atlas locais>
K45::WE.vuio[formulaeTitleName.material.0.MainColor]	Main Color	Cor Principal
K45::WE.vuio[formulaeTitleName.material.0.EmissiveColor]	Emission Color	Cor Emissiva
K45::WE.vuio[formulaeTitleName.material.0.GlassColor]	???	???
K45::WE.vuio[formulaeTitleName.material.0.ColorMask1]	Color mask #1	Máscara de cor 1
K45::WE.vuio[formulaeTitleName.material.0.ColorMask2]	Color mask #2	Máscara de cor 2
K45::WE.vuio[formulaeTitleName.material.0.ColorMask3]	Color mask #3	Máscara de cor 3
K45::WE.vuio[formulaeTitleName.material.0.Metallic]	Metallic	Metálico
K45::WE.vuio[formulaeTitleName.material.0.Smoothness]	Smoothness	Suavidade
K45::WE.vuio[formulaeTitleName.material.0.EmissiveIntensity]	Emissive Intensity	Intensidade Emissiva
K45::WE.vuio[formulaeTitleName.material.0.CoatStrength]	Coat Strength	Envernizamento
K45::WE.vuio[formulaeTitleName.material.0.EmissiveExposureWeight]	Emissive Exposure	Exposição Emissiva
K45::WE.vuio[formulaeTitleName.material.0.GlassRefraction]	???	???
K45::WE.vuio[formulaeTitleName.material.0.NormalStrength]	???	???
K45::WE.vuio[formulaeTitleName.material.0.GlassThickness]	???	???
K45::WE.vuio[formulaeTitleName.material.1.MainColor]	Main Color	Cor Principal
K45::WE.vuio[formulaeTitleName.material.1.EmissiveColor]	???	???
K45::WE.vuio[formulaeTitleName.material.1.GlassColor]	Glass base color/transp.	Cor/transp. base do vidro
K45::WE.vuio[formulaeTitleName.material.1.ColorMask1]	???	???
K45::WE.vuio[formulaeTitleName.material.1.ColorMask2]	???	???
K45::WE.vuio[formulaeTitleName.material.1.ColorMask3]	???	???
K45::WE.vuio[formulaeTitleName.material.1.Metallic]	Tint absorb	Absorção de tinta
K45::WE.vuio[formulaeTitleName.material.1.Smoothness]	Glass clearness	Clareza do vidro
K45::WE.vuio[formulaeTitleName.material.1.EmissiveIntensity]	???	???
K45::WE.vuio[formulaeTitleName.material.1.CoatStrength]	Glass base color/transp.	Cor/transp. base do vidro
K45::WE.vuio[formulaeTitleName.material.1.EmissiveExposureWeight]	???	???
K45::WE.vuio[formulaeTitleName.material.1.GlassRefraction]	Glass refraction	Refração do vidro
K45::WE.vuio[formulaeTitleName.material.1.NormalStrength]	Normals strength	Efeito de normal map
K45::WE.vuio[formulaeTitleName.material.1.GlassThickness]	Glass thickness	Grossura do vidro
K45::WE.vuio[formulaeTitleName.mesh.0.ValueText]	Text content	Conteúdo de texto
K45::WE.vuio[formulaeTitleName.mesh.1.ValueText]	Atlas image	Imagem do atlas
Menu.NOTIFICATION_DESCRIPTION[K45::WE.generatingAtlasesCacheMod.loading]	Loading atlas {atlasName} ({progress})	Carregando atlas {atlasName} ({progress})
Menu.NOTIFICATION_DESCRIPTION[K45::WE.generatingAtlasesCacheMod.complete]	Atlas {atlasName} loaded	Atlas {atlasName} carregado
Menu.NOTIFICATION_DESCRIPTION[K45::WE.generatingAtlasesCacheMod.error]	Error loading atlas {atlasName} from mod '{mod}'	Erro ao carregar atlas {atlasName} do mod '{mod}'
Menu.NOTIFICATION_TITLE[K45::WE.generatingAtlasesCacheMod]	[WE] Atlas for mod {mod}	[WE] Atlas do mod {mod}
K45::WE.vuio[generatingAtlasesCacheMod.errorDialog.title]	Error loading atlas from another mod	Erro ao carregar atlas de outro mod
K45::WE.vuio[generatingAtlasesCacheMod.errorDialog.header]	The atlas <{atlasName}> of the mod <{mod}> failed loading. Contact the author from <{mod}> to get support.\n\nError details:	O atlas <{atlasName}> do mod <{mod}> falhou ao ser carregado. Contate o autor de <{mod}> para obter suporte.\n\nDetalhes do errro:
K45::WE.vuio[cityFontsTab.addFontDialog.fontsFromMods]	Fonts from mods	Fontes de mods
K45::WE.vuio[cityLayoutsTab.addTemplateXmlDialog.templateFromMods]	Templates from mods	Templates de mods
K45::WE.vuio[cityAtlasesTab.modTitlePattern]	{ModName} (mod)	{ModName} (mod)
K45::WE.vuio[prefabTemplatesReplacementsTab.currentCitySourceTitle]	<Current city>	<Cidade atual>
K45::WE.vuio[prefabTemplatesReplacementsTab.fontsToReplace]	Fonts to replace	Fontes a substituir
K45::WE.vuio[prefabTemplatesReplacementsTab.atlasToReplace]	Atlases to replace	Atlas a substituir
K45::WE.vuio[prefabTemplatesReplacementsTab.subtemplatesToReplace]	Subtemplates to replace	Subtemplates a substituir
K45::WE.vuio[prefabTemplatesReplacementsTab.fontsToReplaceTab]	Fonts	Fontes
K45::WE.vuio[prefabTemplatesReplacementsTab.atlasToReplaceTab]	Atlases	Atlas
K45::WE.vuio[prefabTemplatesReplacementsTab.subtemplatesToReplaceTab]	Subtemplates	Subtemplates
K45::WE.vuio[prefabTemplatesReplacementsTab.saveBtn]	Save replacements settings	Salvar configuração de substituição
K45::WE.vuio[prefabTemplatesReplacementsTab.loadBtn]	Load replacement settings	Carregar configuração de substituição
K45::WE.vuio[prefabTemplatesReplacementsTab.saveSettingsDialogTitle]	Save replacements	Salvar substituições
K45::WE.vuio[prefabTemplatesReplacementsTab.saveSettingsDialogText]	Type the name of the file to be stored the current replacement settings.	Informe o nome do arquivo que irá guardar as configurações atuais de substituição.
K45::WE.vuio[prefabTemplatesReplacementsTab.confirmOverrideText]	The file already exists. Replace?	O arquivo já existe. Substituir?
K45::WE.vuio[prefabTemplatesReplacementsTab.savedAtDialogTemplate]	Saved at file:\n{path}	Salvo no arquivo:\n{path}
K45::WE.vuio[prefabTemplatesReplacementsTab.loadSettingsDialogTitle]	Load replacements	Carregar substituições
K45::WE.vuio[prefabTemplatesReplacementsTab.loadSettingsDialogText]	Select the replacement file to be loaded.	Selecione o arquivo de substituições a ser carregado.
K45::WE.vuio[prefabTemplatesReplacementsTab.goToSavedReplacementsFolder]	Go to saved replacements folder	Ir à pasta das configurações salvas
K45::WE.vuio[textValueSettings.decalAreaThickness]	Decal contact area width	Largura de contato do adesivo
K45::WE.vuio[shaderProperties.shaderType.2]	Decal (image. text and white texture only)	Adesivo (Apenas texto/imagens/textura em branco)
K45::WE.vuio[shaderProperties.useOn.dynamicObjectsDecalFilter]	Cover dynamic objects meshes	Aderir a objetos dinâmicos
K45::WE.vuio[shaderProperties.useOn.supportBuildingDecals]	Cover buildings meshes	Aderir a prédios
K45::WE.vuio[shaderProperties.useOn.supportCreatureDecals]	Cover creature meshes	Aderir a criaturas
K45::WE.vuio[shaderProperties.useOn.supportOtherDecals]	Cover other meshes	Aderir a outras superfícies
K45::WE.vuio[shaderProperties.useOn.supportRoadDecals]	Cover roads meshes	Aderir a estradas
K45::WE.vuio[shaderProperties.useOn.supportTerrainDecals]	Cover terrain meshes	Aderir ao terreno
K45::WE.vuio[appearenceSettings.affectSmoothness]	Affects smoothness	Afeta suavização
K45::WE.vuio[appearenceSettings.useGlobalLight]	Use global light	Usar luz global
K45::WE.vuio[appearenceSettings.affectAO]	Affect ambient occlusion	Afeta oclusão de ambiente
K45::WE.vuio[appearenceSettings.affectEmission]	Affect emission	Afeta emissão
K45::WE.vuio[appearenceSettings.drawOrder]	Draw order	Ordem de renderização
K45::WE.vuio[toolOption.pivot]	Position pivot	Pivô da posição
K45::WE.vuio[toolOption.pivot_Left.tooltip]	Left	Esquerda
K45::WE.vuio[toolOption.pivot_Center.tooltip]	Center	Centro
K45::WE.vuio[toolOption.pivot_Right.tooltip]	Right	Direita
K45::WE.vuio[toolOption.pivot_Top.tooltip]	Top	Topo
K45::WE.vuio[toolOption.pivot_Middle.tooltip]	Middle	Meio
K45::WE.vuio[toolOption.pivot_Bottom.tooltip]	Bottom	Baixo
K45::WE.vuio[formulaeError]	Error on formulae	Erro na fórmula
K45::WE.vuio[formulaeError.1]	Component type not found for {0}              	
K45::WE.vuio[formulaeError.3]	Member {0} not found at component type {1}	
K45::WE.vuio[formulaeError.4]	Components only can be got from an Entity	
K45::WE.vuio[formulaeError.5]	Multiple components found for name {0}	
K45::WE.vuio[formulaeError.6]	"Each component getter block must be a pair of component name and field navigation, separated by a semicolon"	
K45::WE.vuio[formulaeError.8]	Class or method not found.	
K45::WE.vuio[formulaeError.9]	Class or method matches more than one result. Please be more specific.\n({0}::{1} `{2}`)	
K45::WE.vuio[formulaeError.10]	Member type {1} isn't a list nor array type (indexing {0})	
K45::WE.vuio[formulaeError.11]	Invalid arithmetic operation: {0} {1} {2} (comma is decimal separator)	
K45::WE.vuio[layoutVariables.title]	Layout variables	Variáveis do layout
K45::WE.vuio[layoutVariables.key]	Key	Chave
K45::WE.vuio[layoutVariables.value]	Value	Valor
K45::WE.vuio[layoutVariables.addVariable]	Add Variable	Adicionar variável
K45::WE.vuio[layoutVariables.removeVariable]	Remove Variable	Remover variável
K45::WE.vuio[layoutVariables.noVariablesLbl]	No variables registered	Sem variáveis registradas
K45::WE.vuio[toolOption.VariablesBtn.tooltip]	Variables Settings	Configurações de variáveis
K45::WE.vuio[toolOption.InstancingBtn.tooltip]	Instancing Settings	Configurações de instanciação
K45::WE.vuio[instancingSettings.title]	Instancing Settings	Configurações de instanciação
K45::WE.vuio[instancingSettings.showWhenLabel]	Show when	Mostrar quando
K45::WE.vuio[instancingSettings.showWhenTooltip]	This layout component and all its children will be rendered only if the formulae value is greater than 0.	Este componente do layout e todos seus descendentes só serão renderizados se o valor da fórmula resultar em um número maior que 0.
K45::WE.vuio[instancingSettings.showWhenAlways]	Always	Sempre
K45::WE.vuio[formulaeTitleName.transform.MustDrawFn]	Must render if greater than 0	Deve renderizar se maior que 0
K45::WE.vuio[formulaeError.255]	Return type is not compatible	Tipo retornado não é compatível
K45::WE.vuio[instancingSettings.arraysOnlyForTemplates]	Arrays are available only for templates placeholders	Matrizes estão disponíveis apenas para placeholders
K45::WE.vuio[instancingSettings.arrayTitle]	Arrays	Matrizes
K45::WE.vuio[instancingSettings.arrayInstances]	Instances by axis	Instâncias por eixo
K45::WE.vuio[instancingSettings.arrayDistanceCm]	Gap between instances (cm)	Distância entre instâncias (cm)
K45::WE.vuio[instancingSettings.arrayGrowthOrder]	Axis creation order	Ordem de criação por eixo
K45::WE.vuio[instancingSettings.arrayGrowthOrder.XYZ]	XYZ	XYZ
K45::WE.vuio[instancingSettings.arrayGrowthOrder.XZY]	XZY	XZY
K45::WE.vuio[instancingSettings.arrayGrowthOrder.YXZ]	YXZ	YXZ
K45::WE.vuio[instancingSettings.arrayGrowthOrder.YZX]	YZX	YZX
K45::WE.vuio[instancingSettings.arrayGrowthOrder.ZXY]	ZXY	ZXY
K45::WE.vuio[instancingSettings.arrayGrowthOrder.ZYX]	ZYX	ZYX
K45::WE.vuio[instancingSettings.arrayInfo]	"Inside a template, you can get the current index value by checking the variable ""$idx"" (no quotes)"	"Em um template, você pode obter o valor de índice atual checando o valor da variável ""$idx"" (sem aspas)"
K45::WE.vuio[cityFontsTab.cleanCache]	Clean cached texts	Limpar textos em cache
K45::WE.vuio[formulaeEditor.addDialog.mathOperation]	Math Operation	Operação matemática
K45::WE.vuio[formulaeEditor.descType.mathOperation]	Math Operation	Operação matemática
K45::WE.vuio[formulaeEditor.addDialog.mathOperationValue]	Value	Valor
K45::WE.vuio[formulaeEditor.addDialog.mathOperationType]	Operation	Operação
K45::WE.vuio[mathOperationType.ADD]	Add	Soma
K45::WE.vuio[mathOperationType.SUBTRACT]	Subtract	Subtração
K45::WE.vuio[mathOperationType.MULTIPLY]	Multiply	Multiplicação
K45::WE.vuio[mathOperationType.DIVIDE]	Divide	Divisão
K45::WE.vuio[formulaeEditor.mathOp.force.Float]	Force result to be floating point type	Forçar resultado como tipo de ponto flutuante
K45::WE.vuio[formulaeEditor.addDialog.mathOperationForceDecimals]	Force result to be floating point type	Forçar resultado como tipo de ponto flutuante
K45::WE.vuio[instancingSettings.totalInstancesCount]	Total instances count	Total de instâncias
K45::WE.vuio[instancingSettings.zPivot]	Z-axis pivot	Pivô no eixo Z
K45::WE.vuio[instancingSettings.axisAlignment]	Last line alignment	Alinhamento últ. Linha
K45::WE.vuio[instancingSettings.pivotZ.Front]	Front	Frente
K45::WE.vuio[instancingSettings.pivotZ.Middle]	Middle	Meio
K45::WE.vuio[instancingSettings.pivotZ.Back]	Back	Trás
K45::WE.vuio[instancingSettings.placingAlignment.Start]	Start	Início
K45::WE.vuio[instancingSettings.placingAlignment.Center]	Center	Centro
K45::WE.vuio[instancingSettings.placingAlignment.End]	End	Fim
K45::WE.vuio[instancingSettings.placingAlignment.Justified]	Justified	Justificado
Editor.TOOL[k45__we_MainWindow]	Write Everywhere	Write Everywhere
K45::WE.vuio[textValueSettings.scaleByAxis]	Scale by axis	Escala por eixo
K45::WE.vuio[textValueSettings.contentType.5]	Matrix Transformer	Transformador Matricial
K45::WE.vuio[formulaeEditor.finalPipelineAlwaysFloat3Info]	The final text will always have type Float3	O texto final sempre será do tipo Float3
K45::WE.vuio[formulaeEditor.implicitConversionWarningFloat3Fail]	Implicit conversion to Float3	Conversão implícita para Float3
K45::WE.vuio[textValueSettings.offsetPosition]	Offset position (m)	Desloc. Posição (m)
K45::WE.vuio[textValueSettings.offsetRotation]	Offset rotation (°)	Desloc. Rotação (°)
K45::WE.vuio[textValueSettings.resizeHeightOnTextOverflow]	Resize height on text overflow	Redimensionar altura se texto ultrapassar limite
K45::WE.vuio[mathOperationType.MODULUS]	Modulus (rest from dividing)	Módulo (resto da divisão)
K45::WE.vuio[mathOperationType.EQUALS]	Equals to	Igual a
K45::WE.vuio[mathOperationType.GREATER]	Greater than	Maior que
K45::WE.vuio[mathOperationType.LESSER]	Lesser than	Menor que
K45::WE.vuio[mathOperationType.AND]	Logical AND	E lógico
K45::WE.vuio[mathOperationType.OR]	Logical OR	OU lógico
K45::WE.vuio[mathOperationType.XOR]	Logical OR exclusive	OU lógico exclusivo
K45::WE.vuio[mathOperationType.NOT]	Logical NOT	NÃO lógico
K45::WE.vuio[textValueSettings.childrenRefersToFrontFace]	Children refers to front face	Filhos se baseiam na face frontal
K45::WE.vuio[textValueSettings.contentType.6]	White Cube	Cubo Branco
K45::WE.vuio[textValueSettings.dimensions]	Dimensions (WxHxD) (cm)	Dimensões (LxAxP) (cm)
K45::WE.vuio[textHierarchyWindow.buildingModuleSelect]	Select from prefab modules hierarchy	Selecionar na hierarquia de módulos do prefab
K45::WE.vuio[textValueSettings.flipZ]	Flip Z axis	Inverter eixo Z
::NTK45::WE.loadingLocalMeshes	[WE] Local meshes	[WE] Modelos 3D locais
::NDK45::WE.loadingLocalMeshes	Starting loading	Iniciando
::NDK45::WE.loadingLocalMeshes.deletingOld	Cleaning loaded meshes	Limpando modelos anteriores
::NDK45::WE.loadingLocalMeshes.loadingFolders	Loading file: {meshName} ({progress})	Carregando: {meshName} ({progress})
::NDK45::WE.loadingLocalMeshes.complete	Complete	Concluído
::LMeshesFolder	Go to meshes folder	Ir à pasta de modelos 3D
::DMeshesFolder	This folder stores the OBJ files that can be loaded by this mod as 3D models in game	Esta pasta contém os arquivos OBJ que podem ser carregados como modelos 3D dentro do jogo por esse mod
::LMeshesRefresh	Reload meshes	Recarregar modelos 3D
::DMeshesRefresh	Reload all 3D models from meshes folder	Recarrega todos os modelos 3D da pasta local
::GMeshes	Custom Meshes	Modelos 3D personalizados
K45::WE.vuio[textValueSettings.mesh]	Mesh	Modelo 3D
K45::WE.vuio[textValueSettings.defaultPlane]	<Default Plane>	<Plano padrão>
::NTK45::WE.errorLoadingAtlasesCache	[WE] Error loading some local images	[WE] Erro ao carregar algumas imagens locais
::NDK45::WE.errorLoadingAtlasesCache	Click to check details	Clique para detalhes
K45::WE.ATLAS_MANAGER[errorDialogHeader]	Some images failed while trying to load atlases.	Algumas imagens falharam ao tentar carregar os atlas.
::NTK45::WE.errorLoadingModuleAtlasesCache	Error loading atlas {atlasName} from mod '{mod}'	Erro ao carregar atlas {atlasName} do mod '{mod}'
::NDK45::WE.errorLoadingModuleAtlasesCache	Click to check details	Clique para detalhes
K45::WE.vuio[appearenceSettings.metallicOpacity]	Metallic opacity	Opacidade do metálico
K45::WE.vuio[prefabTemplatesReplacementsTab.weModuleOptionsTab]	Options	Opções
K45::WE.vuio[toolOption.editingPlane_BackXY.tooltip]	"Move in XY, rotate in Z (back)"	"Mover em XY, girar em Z (atrás)"
K45::WE.vuio[toolOption.editingPlane_BackZY.tooltip]	"Move in ZY, rotate in X (left)"	"Mover em ZY, girar em X esquerda)"
K45::WE.vuio[toolOption.editingPlane_BackXZ.tooltip]	"Move in XZ, rotate in Y (bottom)"	"Mover em XZ, girar em Y (fundo)"
K45::WE.vuio[toolOption.planeTilt.up]	Increase fixed camera tilt (positive shows default rendered face)	Aumentar inclinação da câmera fixa (positivo mostra a face renderizada por padrão)
K45::WE.vuio[toolOption.planeTilt.down]	Decrease fixed camera tilt (positive shows default rendered face)	Diminuir inclinação da câmera fixa (positivo mostra a face renderizada por padrão)
K45::WE.vuio[shaderProperties.renderBackface]	Render backface	Renderizar face traseira
::BK45_WE_InstanceNavZNext	Navigate array: Z+ (next)	Navegar array: Z+ (próximo)
::BK45_WE_InstanceNavZPrev	Navigate array: Z- (previous)	Navegar array: Z- (anterior)
::BK45_WE_InstanceNavXNext	Navigate array: X+ (next)	Navegar array: X+ (próximo)
::BK45_WE_InstanceNavXPrev	Navigate array: X- (previous)	Navegar array: X- (anterior)
::BK45_WE_InstanceNavYNext	Navigate array: Y+ (next)	Navegar array: Y+ (próximo)
::BK45_WE_InstanceNavYPrev	Navigate array: Y- (previous)	Navegar array: Y- (anterior)
::LActionNextText	Array Z+ (next)	Array Z+ (próximo)
::DActionNextText	Move camera to the next instance along the Z axis of the array	Move a câmera para a próxima instância no eixo Z da matriz
::LActionPreviousText	Array Z- (previous)	Array Z- (anterior)
::DActionPreviousText	Move camera to the previous instance along the Z axis of the array	Move a câmera para a instância anterior no eixo Z da matriz
::LActionInstanceNavXNext	Array X+ (next)	Array X+ (próximo)
::DActionInstanceNavXNext	Move camera to the next instance along the X axis of the array	Move a câmera para a próxima instância no eixo X da matriz
::LActionInstanceNavXPrev	Array X- (previous)	Array X- (anterior)
::DActionInstanceNavXPrev	Move camera to the previous instance along the X axis of the array	Move a câmera para a instância anterior no eixo X da matriz
::LActionInstanceNavYNext	Array Y+ (next)	Array Y+ (próximo)
::DActionInstanceNavYNext	Move camera to the next instance along the Y axis of the array	Move a câmera para a próxima instância no eixo Y da matriz
::LActionInstanceNavYPrev	Array Y- (previous)	Array Y- (anterior)
::DActionInstanceNavYPrev	Move camera to the previous instance along the Y axis of the array	Move a câmera para a instância anterior no eixo Y da matriz
::BK45_WE_TreeNavNext	Tree: select next item	Árvore: selecionar próximo item
::BK45_WE_TreeNavPrev	Tree: select previous item	Árvore: selecionar item anterior
::BK45_WE_TreeToggleFold	Tree: fold/unfold item	Árvore: recolher/expandir item
::BK45_WE_TreeDelete	Tree: delete item (with confirmation)	Árvore: apagar item (com confirmação)
::BK45_WE_TreeFoldAll	Tree: fold all	Árvore: recolher todos
::BK45_WE_TreeUnfoldAll	Tree: unfold all	Árvore: expandir todos
::LActionTreeNavNext	Tree: next item	Árvore: próximo item
::DActionTreeNavNext	Move selection to the next visible item in the layout tree (Page Down)	Move a seleção para o próximo item visível na árvore de layout (Page Down)
::LActionTreeNavPrev	Tree: previous item	Árvore: item anterior
::DActionTreeNavPrev	Move selection to the previous visible item in the layout tree (Page Up)	Move a seleção para o item visível anterior na árvore de layout (Page Up)
::LActionTreeToggleFold	Tree: toggle fold	Árvore: alternar recolhimento
::DActionTreeToggleFold	Fold or unfold the currently selected item in the layout tree (Space)	Recolhe ou expande o item selecionado na árvore de layout (Space)
::LActionTreeDelete	Tree: delete item	Árvore: apagar item
::DActionTreeDelete	Show a confirmation dialog to delete the currently selected item in the layout tree (Delete)	Exibe diálogo de confirmação para apagar o item selecionado na árvore de layout (Delete)
::LActionTreeFoldAll	Tree: fold all	Árvore: recolher todos
::DActionTreeFoldAll	Collapse all items in the layout tree (Home)	Recolhe todos os itens na árvore de layout (Home)
::LActionTreeUnfoldAll	Tree: unfold all	Árvore: expandir todos
::DActionTreeUnfoldAll	Recursively expand all items in the layout tree (End)	Expande todos os itens recursivamente na árvore de layout (End)
K45::WE.vuio[instancingSettings.instanceNavTitle]	Array instance navigation	Navegação por instância
K45::WE.vuio[instancingSettings.instanceNav.x]	X axis	Eixo X
K45::WE.vuio[instancingSettings.instanceNav.y]	Y axis	Eixo Y
K45::WE.vuio[instancingSettings.instanceNav.z]	Z axis	Eixo Z
K45::WE.vuio[textHierarchyWindow.deleteConfirmMsg]	Are you sure you want to delete this item?	Tem certeza que deseja apagar este item?
K45::WE.vuio[textHierarchyWindow.deleteConfirmCancel]	Cancel	Cancelar
::GArrayItemView    Instance item (array)	Instância do array
::GTreeItemView     Tree item (layout hierarchy)	Item da árvore (hierarquia de layout)
